Studentid,firstname,lastname,email,Date of Exam,Marks,Percentage,City,Country,Country Code
2113,Ruthe,Clara,Ruthe.Clara@yopmail.com,10-04-1966,271,77.064,Baghdad,Pitcairn,BE
2694,Hollie,Irmine,Hollie.Irmine@yopmail.com,15-10-1926,995,37.4039,Perm,British Indian Ocean Territory,BV
2954,Marjie,Bonucci,Marjie.Bonucci@yopmail.com,09-08-1923,599,71.3633,Jakarta,Portugal,TZ
2502,Corry,Olin,Corry.Olin@yopmail.com,02-05-2011,900,62.7114,Columbus,Thailand,GL
2951,Addia,Redmond,Addia.Redmond@yopmail.com,11-10-2010,628,78.849,Nanning,Dominican Republic,DZ
2795,Sophia,Raul,Sophia.Raul@yopmail.com,15-10-1908,980,92.3838,Rockhampton,Kazakhstan,AN
2824,Kirbee,Bartlett,Kirbee.Bartlett@yopmail.com,24-02-1933,139,84.7579,Ashgabat,Peru,SI
2826,Catharine,Zenas,Catharine.Zenas@yopmail.com,22-11-1953,926,38.788,Copenhagen,Iraq,JP
2424,Grier,Matthew,Grier.Matthew@yopmail.com,14-01-1943,869,30.7888,Sana'a,Nauru,VI
2624,Edee,Fredi,Edee.Fredi@yopmail.com,31-01-1940,496,45.5318,N'Djamena,France,NG
2380,Basia,Tillford,Basia.Tillford@yopmail.com,06-06-2002,772,73.9281,Dibrugarh,Morocco,AQ
2217,Rosaline,Ahab,Rosaline.Ahab@yopmail.com,09-07-1930,17,65.7092,Mogadishu,Kazakhstan,FM
2256,Ethel,Yate,Ethel.Yate@yopmail.com,05-09-1960,296,84.2569,Ndola,Niue,FI
2530,Bill,Payson,Bill.Payson@yopmail.com,25-08-1941,752,65.3426,Edinburgh,Russian Federation,TZ
2376,Sarette,Prober,Sarette.Prober@yopmail.com,21-11-2002,282,93.7173,São Paulo,Colombia,PY
2946,Cherilyn,Roumell,Cherilyn.Roumell@yopmail.com,23-06-2005,68,100.4036,Minsk,Italy,MT
2668,Briney,Kenwood,Briney.Kenwood@yopmail.com,24-01-1907,577,73.0277,Norilsk,Ethiopia,PH
2779,Suzette,Gamaliel,Suzette.Gamaliel@yopmail.com,13-01-1969,717,91.3491,Phuket (city),Estonia,KN
2076,Wynne,Fax,Wynne.Fax@yopmail.com,23-09-2012,59,74.5684,San José,Samoa,DE
2804,Malina,Gregrory,Malina.Gregrory@yopmail.com,07-09-1945,909,68.5922,Porto Alegre,Germany,GU
2838,Demetris,Lane,Demetris.Lane@yopmail.com,08-08-1992,381,98.2924,Tehran,Martinique,GS
2643,Justinn,Garlinda,Justinn.Garlinda@yopmail.com,25-08-1913,2,86.0791,Helsinki,Burundi,BF
2904,Andree,Carri,Andree.Carri@yopmail.com,20-10-1988,576,93.0855,Singapore,Malta,RO
2039,Libbie,Marden,Libbie.Marden@yopmail.com,12-07-2010,904,41.6171,Nairobi,Guinea-Bissau,MZ
2374,Joeann,Helfand,Joeann.Helfand@yopmail.com,22-07-1939,961,49.9037,Shenyang,Gabon,CL
2246,Deirdre,Stilwell,Deirdre.Stilwell@yopmail.com,08-11-1969,547,35.9924,Nagoya,Antigua and Barbuda,SJ
