,Studentid,Full_Name,email,Date of Exam,Marks,Percentage,City,Country,Country Code
0,2113,Ruthe Clara,Ruthe.Clara@yopmail.com,1966-10-04,271,77.06,Baghdad,Pitcairn,BE
1,2694,Hollie Irmine,Hollie.Irmine@yopmail.com,1926-10-15,995,37.4,Perm,British Indian Ocean Territory,BV
2,2954,Marjie Bonucci,Marjie.Bonucci@yopmail.com,1923-09-08,599,71.36,Jakarta,Portugal,TZ
3,2502,Corry Olin,Corry.Olin@yopmail.com,2011-02-05,900,62.71,Columbus,Thailand,GL
4,2951,Addia Redmond,Addia.Redmond@yopmail.com,2010-11-10,628,78.85,Nanning,Dominican Republic,DZ
5,2795,Sophia Raul,Sophia.Raul@yopmail.com,1908-10-15,980,92.38,Rockhampton,Kazakhstan,AN
6,2824,Kirbee Bartlett,Kirbee.Bartlett@yopmail.com,1933-02-24,139,84.76,Ashgabat,Peru,SI
7,2826,Catharine Zenas,Catharine.Zenas@yopmail.com,1953-11-22,926,38.79,Copenhagen,Iraq,JP
8,2424,Grier Matthew,Grier.Matthew@yopmail.com,1943-01-14,869,30.79,Sana'a,Nauru,VI
9,2624,Edee Fredi,Edee.Fredi@yopmail.com,1940-01-31,496,45.53,N'Djamena,France,NG
10,2380,Basia Tillford,Basia.Tillford@yopmail.com,2002-06-06,772,73.93,Dibrugarh,Morocco,AQ
11,2217,Rosaline Ahab,Rosaline.Ahab@yopmail.com,1930-09-07,17,65.71,Mogadishu,Kazakhstan,FM
12,2256,Ethel Yate,Ethel.Yate@yopmail.com,1960-05-09,296,84.26,Ndola,Niue,FI
13,2530,Bill Payson,Bill.Payson@yopmail.com,1941-08-25,752,65.34,Edinburgh,Russian Federation,TZ
14,2376,Sarette Prober,Sarette.Prober@yopmail.com,2002-11-21,282,93.72,São Paulo,Colombia,PY
15,2946,Cherilyn Roumell,Cherilyn.Roumell@yopmail.com,2005-06-23,68,100.4,Minsk,Italy,MT
16,2668,Briney Kenwood,Briney.Kenwood@yopmail.com,1907-01-24,577,73.03,Norilsk,Ethiopia,PH
17,2779,Suzette Gamaliel,Suzette.Gamaliel@yopmail.com,1969-01-13,717,91.35,Phuket (city),Estonia,KN
18,2076,Wynne Fax,Wynne.Fax@yopmail.com,2012-09-23,59,74.57,San José,Samoa,DE
19,2804,Malina Gregrory,Malina.Gregrory@yopmail.com,1945-07-09,909,68.59,Porto Alegre,Germany,GU
20,2838,Demetris Lane,Demetris.Lane@yopmail.com,1992-08-08,381,98.29,Tehran,Martinique,GS
21,2643,Justinn Garlinda,Justinn.Garlinda@yopmail.com,1913-08-25,2,86.08,Helsinki,Burundi,BF
22,2904,Andree Carri,Andree.Carri@yopmail.com,1988-10-20,576,93.09,Singapore,Malta,RO
23,2039,Libbie Marden,Libbie.Marden@yopmail.com,2010-12-07,904,41.62,Nairobi,Guinea-Bissau,MZ
24,2374,Joeann Helfand,Joeann.Helfand@yopmail.com,1939-07-22,961,49.9,Shenyang,Gabon,CL
25,2246,Deirdre Stilwell,Deirdre.Stilwell@yopmail.com,1969-08-11,547,35.99,Nagoya,Antigua and Barbuda,SJ
26,2786,Drucie Barrus,Drucie.Barrus@yopmail.com,2008-02-20,641,96.45,Detroit,Iraq,AW
27,2419,Beth Nedrud,Beth.Nedrud@yopmail.com,1997-12-04,955,85.13,Luanda,Kiribati,TT
28,2722,Neila Tjon,Neila.Tjon@yopmail.com,1980-02-10,844,60.84,Lyon,Haiti,AE
29,2433,Lanae Gaal,Lanae.Gaal@yopmail.com,1945-02-03,298,96.94,Liverpool,Kazakhstan,GM
30,2766,Phylis Martsen,Phylis.Martsen@yopmail.com,1929-08-07,984,93.75,Puerto Williams,Panama,NL
31,2635,Korrie Lamoree,Korrie.Lamoree@yopmail.com,1972-04-16,869,40.54,Faisalabad,Sierra Leone,SY
32,2516,Adore Norvol,Adore.Norvol@yopmail.com,1990-01-03,331,42.84,Edinburgh,Hong Kong,CL
33,2386,Roz Ball,Roz.Ball@yopmail.com,1900-09-01,811,49.44,Moroni,Mayotte,AQ
34,2000,Cathyleen Audly,Cathyleen.Audly@yopmail.com,1971-06-24,142,72.5,New York City,"Korea, Republic of",KN
35,2471,Brynna Bergman,Brynna.Bergman@yopmail.com,1920-03-12,963,81.25,Edinburgh,Uzbekistan,IS
36,2440,Aubrie Zola,Aubrie.Zola@yopmail.com,1950-03-15,277,65.07,Sydney,Sudan,EC
37,2004,Marcy Adore,Marcy.Adore@yopmail.com,1953-04-02,138,75.21,La Paz,Slovakia,GT
38,2006,Penelopa Clywd,Penelopa.Clywd@yopmail.com,1924-10-12,152,90.33,Cologne,Colombia,AZ
39,2308,Cam Cassius,Cam.Cassius@yopmail.com,1939-09-18,336,75.74,Casablanca,Samoa,AG
40,2198,Marti Zenas,Marti.Zenas@yopmail.com,1992-10-28,872,42.44,Tirana,Monaco,NU
41,2713,Anica Pitt,Anica.Pitt@yopmail.com,1923-04-03,512,34.3,Bangkok,Morocco,GH
42,2102,Juliane Milson,Juliane.Milson@yopmail.com,1915-06-15,225,31.67,Paramaribo,Zambia,OM
43,2184,Janis Laurianne,Janis.Laurianne@yopmail.com,1920-09-14,307,69.39,Durban,Algeria,VI
44,2567,Meg Afton,Meg.Afton@yopmail.com,1988-06-13,328,57.36,Tagbilaran,Saint Helena,SR
45,2236,Zia Birdella,Zia.Birdella@yopmail.com,1983-09-11,374,81.85,Warsaw,Sweden,CX
46,2606,Deloria Roche,Deloria.Roche@yopmail.com,1907-06-01,399,82.03,Gaborone,Iceland,TG
47,2592,Tina Brenn,Tina.Brenn@yopmail.com,1991-02-20,270,34.11,Winnipeg,Azerbaijan,CM
48,2129,Nelle Ciapas,Nelle.Ciapas@yopmail.com,1905-05-09,825,70.51,Andorra la Vella,Mozambique,TR
49,2617,Willetta Shanley,Willetta.Shanley@yopmail.com,2016-02-07,220,97.86,Philadelphia,Cocos (Keeling) Islands,JP
50,2267,Cindelyn Amasa,Cindelyn.Amasa@yopmail.com,2006-08-01,431,47.25,Fukuoka,Mali,MH
51,2807,Anica Jerald,Anica.Jerald@yopmail.com,1916-07-22,216,93.79,Khartoum,Chile,TV
52,2316,Eolanda Adamsen,Eolanda.Adamsen@yopmail.com,1938-02-08,388,77.52,São Tomé,Northern Mariana Islands,BE
53,2345,Shaylyn Mott,Shaylyn.Mott@yopmail.com,1927-08-21,913,69.88,Mata-Utu,Central African Republic,MS
54,2188,Marcy Iiette,Marcy.Iiette@yopmail.com,1945-05-11,166,72.09,Fukuoka,Switzerland,BA
55,2900,Sindee Sandye,Sindee.Sandye@yopmail.com,1918-01-28,515,80.52,Riyadh,Yemen,GF
56,2859,Blinni Urania,Blinni.Urania@yopmail.com,1910-08-06,600,41.78,Yokohama,Cyprus,CX
57,2325,Fernande Jagir,Fernande.Jagir@yopmail.com,1977-10-28,975,53.48,Hanover,Sao Tome and Principe,SH
58,2531,Isa Gladstone,Isa.Gladstone@yopmail.com,1938-09-28,67,51.63,Townsville,Niue,BN
59,2380,Carol-Jean Sekofski,Carol-Jean.Sekofski@yopmail.com,1903-06-05,992,46.95,Iloilo City,Netherlands Antilles,JP
60,2783,Mireielle Pettiford,Mireielle.Pettiford@yopmail.com,1970-04-10,146,63.74,Tallinn,Antarctica,AE
61,2800,Odessa Roxanna,Odessa.Roxanna@yopmail.com,2008-11-04,413,99.98,Salzburg,Wallis and Futuna,AQ
62,2385,Anallese Kimmie,Anallese.Kimmie@yopmail.com,1982-05-02,89,31.76,Moscow,Costa Rica,LI
63,2280,Ileana Fiester,Ileana.Fiester@yopmail.com,1965-09-12,896,71.84,Yokohama,Paraguay,GY
64,2953,Dolli Raychel,Dolli.Raychel@yopmail.com,1930-01-23,753,53.58,Harare,Anguilla,MY
65,2350,Nikki Fillbert,Nikki.Fillbert@yopmail.com,1978-02-07,959,93.88,Bratislava,Sudan,MN
66,2217,Odessa Jehu,Odessa.Jehu@yopmail.com,1948-10-15,242,65.24,Saint Petersburg,Greenland,RO
67,2551,Berget Imelida,Berget.Imelida@yopmail.com,1903-07-24,422,79.55,Adamstown,Heard Island and Mcdonald Islands,HK
68,2352,Christian Dash,Christian.Dash@yopmail.com,1925-03-08,848,32.27,Moroni,Egypt,SA
69,2037,Vere O'Carroll,Vere.O'Carroll@yopmail.com,1952-10-29,738,30.68,Gothenburg,Malaysia,SD
70,2536,Julieta Linehan,Julieta.Linehan@yopmail.com,1913-02-18,426,43.08,Kraków,Norfolk Island,MT
71,2343,Gavrielle Lowry,Gavrielle.Lowry@yopmail.com,1986-08-23,449,34.57,Kano,South Africa,GL
72,2443,Aigneis Loleta,Aigneis.Loleta@yopmail.com,1956-02-05,486,81.53,Basra,Venezuela,HR
73,2330,Hyacinthe Ietta,Hyacinthe.Ietta@yopmail.com,1980-08-29,818,65.28,Nassau,Oman,KI
74,2439,Philis Kalinda,Philis.Kalinda@yopmail.com,1910-05-03,673,61.03,Bucharest,Mayotte,DE
75,2456,Mildrid Hewitt,Mildrid.Hewitt@yopmail.com,1968-09-25,220,75.37,Dili,Argentina,CL
76,2557,Yvonne Denis,Yvonne.Denis@yopmail.com,1958-02-10,694,96.71,Edinburgh,Morocco,TV
77,2464,Rori Kare,Rori.Kare@yopmail.com,1959-11-27,893,63.42,Riverside,Cameroon,MP
78,2315,Lulita Malanie,Lulita.Malanie@yopmail.com,1991-02-04,385,93.71,Podgorica,Peru,SE
79,2071,Cherilyn Amethist,Cherilyn.Amethist@yopmail.com,1958-04-18,938,62.91,Malmö,Reunion,ER
80,2558,Talya Gabrielli,Talya.Gabrielli@yopmail.com,1977-09-02,997,31.12,Turin,Somalia,IL
81,2992,Edith Alwin,Edith.Alwin@yopmail.com,2006-05-14,749,52.96,Bilbao,Kazakhstan,BW
82,2569,Gilligan Marsden,Gilligan.Marsden@yopmail.com,1932-02-01,995,87.02,Santa Cruz de la Sierra,Costa Rica,YE
83,2840,Sharlene Roxanna,Sharlene.Roxanna@yopmail.com,1973-02-05,553,68.04,Daegu,Cuba,JE
84,2327,Morganica Cohdwell,Morganica.Cohdwell@yopmail.com,1920-10-27,651,64.04,Juneau,Cape Verde,BG
85,2394,Addia Dearborn,Addia.Dearborn@yopmail.com,1905-05-10,83,51.97,Marseille,Turkey,EE
86,2077,Phylis Duwalt,Phylis.Duwalt@yopmail.com,1909-11-06,586,59.07,Hamburg,Zambia,AQ
87,2436,Catrina Love,Catrina.Love@yopmail.com,2009-02-23,618,62.93,Willemstad,Liberia,KW
88,2416,Ricky August,Ricky.August@yopmail.com,1968-09-13,735,88.0,Tiraspol,Bosnia and Herzegovina,RW
89,2259,Mignon Tarrant,Mignon.Tarrant@yopmail.com,1981-11-06,440,60.72,Nukus,Central African Republic,DM
90,2027,Nanete Greenwald,Nanete.Greenwald@yopmail.com,1971-01-15,944,59.1,Sukhumi,Cape Verde,PE
91,2601,Fidelia Tufts,Fidelia.Tufts@yopmail.com,1981-10-07,205,99.39,Johor Bahru,French Southern Territories,TW
92,2830,Catrina Dex,Catrina.Dex@yopmail.com,1947-02-28,192,41.17,Zagreb,Christmas Island,KP
93,2030,Sonni Fry,Sonni.Fry@yopmail.com,2018-03-21,682,80.55,Tianjin,Venezuela,DK
94,2297,Quintina Raseda,Quintina.Raseda@yopmail.com,1953-09-26,654,83.37,Tehran,"Macedonia, The Former Yugoslav Republic of",SE
95,2269,Estell Sheedy,Estell.Sheedy@yopmail.com,1955-10-29,304,60.86,Kyoto,New Caledonia,BA
96,2750,Ermengarde Even,Ermengarde.Even@yopmail.com,1937-07-05,715,46.8,Jerusalem,Chile,ID
97,2277,Melisent Cressida,Melisent.Cressida@yopmail.com,1934-10-08,291,55.66,Punta Arenas,Sweden,JM
98,2034,Melisent Riordan,Melisent.Riordan@yopmail.com,1930-09-06,765,75.57,Ürümqi,Sudan,ZA
99,2093,Gusty Ailyn,Gusty.Ailyn@yopmail.com,1918-10-04,566,36.68,Barranquilla,French Polynesia,SV
